age,sex,pb_surface,pb_elev,pb100k_time,pb100k_dec,avg_km,teique_sf,steu_b,stem_b
37.00,1.00,1,1200.00,11:09:55,11.16,100.00,4.37,10.00,8.17
45.00,2.00,1,4200.00,12:42:00,12.70,70.00,5.23,14.00,11.50
42.00,2.00,1,3500.00,10:08:00,10.13,100.00,4.73,16.00,10.58
34.00,2.00,1,3048.00,17:01:35,17.01,50.00,5.20,15.00,11.58
40.00,2.00,1,609.60,11:14:00,11.24,95.00,5.63,17.00,12.50
40.00,1.00,1,2000.00,12:36:00,12.60,60.00,5.10,12.00,12.33
26.00,2.00,1,3352.80,20:00:00,20.00,65.00,5.13,14.00,13.33
44.00,2.00,1,1580.00,14:01:00,14.01,65.00,4.87,13.00,10.67
44.00,2.00,4,1900.00,13:03:00,13.05,55.00,5.33,12.00,8.83
52.00,2.00,1,1220.00,13:11:00,13.18,70.00,4.17,14.00,13.83
34.00,2.00,1,1000.00,12:00:00,12.00,100.00,,,
29.00,1.00,1,1500.00,12:00:00,12.00,112.00,3.83,8.00,
53.00,2.00,1,2000.00,15:23:00,15.38,80.00,5.27,12.00,
45.00,2.00,1,2500.00,15:00:00,15.00,80.00,,,
22.00,2.00,1,3000.00,10:32:02,10.52,120.00,4.90,12.00,
54.00,2.00,1,2500.00,15:10:00,15.16,100.00,5.10,12.00,
32.00,2.00,4,9448.80,09:54:00,9.90,140.00,5.70,,
30.00,2.00,2,0.00,13:30:00,13.50,103.00,4.20,,
48.00,2.00,1,2000.00,21:41:00,21.68,30.00,5.20,10.00,
48.00,1.00,1,5486.40,20:00:00,20.00,38.00,5.70,,
52.00,1.00,1,914.40,19:00:00,19.00,,,,
44.00,2.00,1,,12:00:00,12.00,90.00,4.47,,
19.00,2.00,1,4500.00,14:55:00,14.91,80.00,4.87,,
30.00,1.00,1,304.80,11:00:00,11.00,88.00,,,
48.00,2.00,1,6500.00,14:22:00,14.36,75.00,5.67,,
47.00,1.00,3,487.68,11:00:00,11.00,152.00,,,
49.00,2.00,1,5029.20,17:00:00,17.00,60.00,,13.00,
27.00,2.00,1,2000.00,11:58:17,11.99,55.00,,,
32.00,2.00,1,1219.20,12:28:24,12.46,70.00,5.13,9.00,
35.00,1.00,1,5100.00,20:00:00,20.00,60.00,,,
31.00,2.00,3,1756.00,15:01:00,15.01,45.00,5.73,15.00,12.50
30.00,2.00,1,4876.80,12:25:54,12.41,70.00,3.90,,
32.00,2.00,1,,13:28:00,13.49,75.00,4.97,13.00,
64.00,2.00,1,3048.00,14:00:00,14.00,50.00,5.33,16.00,
34.00,2.00,1,2133.60,13:12:00,13.20,60.00,,,
35.00,1.00,1,2000.00,13:36:00,13.55,75.00,,,
27.00,2.00,3,2113.00,13:58:26,13.96,90.00,,,
19.00,2.00,4,487.68,10:57:33,10.95,75.00,,,
31.00,2.00,1,1524.00,16:00:00,16.00,75.00,4.00,14.00,10.92
40.00,2.00,1,4327.00,11:48:48,11.80,80.00,4.67,12.00,8.33
43.00,2.00,1,3500.00,17:00:00,17.00,75.00,,,
29.00,1.00,2,30.00,11:39:00,11.65,50.00,4.63,17.00,13.42
51.00,2.00,1,0.00,13:35:00,13.58,100.00,5.63,13.00,
30.00,1.00,4,3089.00,13:06:00,13.09,60.00,,,
21.00,2.00,4,,13:52:06,13.86,,,,
41.00,2.00,1,3048.00,16:00:00,16.00,60.00,,,
54.00,2.00,1,7500.00,15:00:00,15.00,75.00,5.47,8.00,
43.00,2.00,1,0.00,12:05:00,12.08,113.00,6.07,12.00,12.00
46.00,2.00,1,3300.00,14:00:00,14.16,45.00,,,
38.00,2.00,3,400.00,11:00:00,11.00,70.00,4.53,,
46.00,2.00,1,4000.00,18:00:00,18.00,70.00,,14.00,
33.00,2.00,3,567.00,12:51:00,12.85,62.00,,11.00,11.67
29.00,1.00,1,4343.00,22:00:00,22.00,80.00,5.23,13.00,
33.00,2.00,1,2000.00,11:30:00,11.50,50.00,,,
59.00,2.00,1,2200.00,14:40:00,14.66,60.00,4.47,12.00,
29.00,2.00,1,3962.00,10:10:45,10.16,100.00,3.83,9.00,
53.00,2.00,1,4267.00,13:00:00,13.00,90.00,3.50,,
26.00,2.00,1,4000.00,07:30:00,7.50,150.00,,,
45.00,2.00,1,5460.00,19:43:51,19.84,77.00,,,
31.00,1.00,1,4460.00,16:45:00,16.75,75.00,5.97,9.00,
56.00,2.00,1,3048.00,12:00:00,12.00,70.00,4.30,8.00,
30.00,2.00,1,4895.00,25:15:00,25.25,80.00,,,
33.00,2.00,4,3657.00,15:30:00,15.50,150.00,6.53,13.00,
42.00,1.00,1,0.00,13:22:00,13.36,50.00,6.07,14.00,14.25
29.00,2.00,1,2000.00,10:00:00,10.00,95.00,5.27,6.00,
44.00,1.00,1,0.00,17:00:00,17.00,,,,
36.00,2.00,1,2500.00,12:50:00,12.83,100.00,6.27,6.00,
34.00,,1,2000.00,16:00:00,16.00,85.00,6.07,16.00,
35.00,1.00,4,5182.00,12:25:39,12.50,88.00,4.63,15.00,11.83
32.00,2.00,1,4000.00,16:00:00,16.00,70.00,4.40,,
33.00,2.00,3,300.00,09:11:51,9.18,160.00,,,
39.00,1.00,1,13000.00,16:30:00,16.50,75.00,,8.00,13.75
27.00,2.00,4,2438.00,14:25:00,14.41,60.00,4.97,15.00,
26.00,2.00,1,2250.00,14:15:00,14.25,80.00,5.10,13.00,
26.00,2.00,1,4200.00,19:00:00,19.00,85.00,,12.00,4.67
49.00,1.00,1,,15:00:00,15.00,36.00,,14.00,10.42
43.00,1.00,1,1500.00,13:22:00,13.36,80.00,5.90,15.00,13.17
53.00,2.00,1,2600.00,17:50:00,17.83,50.00,,,
29.00,2.00,1,2134.00,10:30:00,10.50,65.00,6.23,15.00,9.00
27.00,2.00,1,457.00,11:45:00,11.75,100.00,,,
54.00,1.00,3,0.00,12:45:00,12.75,96.50,3.87,13.00,11.33
44.00,1.00,1,0.00,19:45:00,19.75,56.00,6.30,14.00,11.83
31.00,1.00,1,2713.00,15:24:00,15.40,110.00,5.80,13.00,
42.00,1.00,1,2000.00,20:22:13,21.00,70.00,5.43,14.00,
49.00,2.00,1,2134.00,18:00:00,18.00,40.00,,,
38.00,2.00,1,305.00,14:28:00,14.46,75.00,3.33,11.00,
